Age,Gender,wassce grade,level,current CGPA,number of siblings ,access to a laptop or internet,study group,time spent on independent studies,grades
121,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Less than 2 hours,Third class
122,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,No,Less than 2 hours,Second class lower
123,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,More than 3,Yes,No,Exactly 2 hours,Second class upper
124,23 - 27 years,Female,6 - 9,L 400,4.0 - 3.6,Less than 3,Yes,Yes,More than 2 hours,First class
125,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,Less than 3,Yes,Yes,Less than 2 hours,Second class upper
126,18 - 22 years,Male,6 - 9,L 300,3.5 - 3.0,Less than 3,Yes,No,More than 2 hours,Second class upper
127,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,Exactly 3,Yes,No,More than 2 hours,Second class upper
128,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,Yes,More than 2 hours,Second class lower
129,23 - 27 years,Female,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,Exactly 2 hours,Second class lower
130,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,More than 3,No,No,More than 2 hours,Second class lower
131,18 - 22 years,Male,16 - 20,L 300,2.4 - 2.0,More than 3,Yes,No,Less than 2 hours,Third class
132,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
133,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,More than 3,Yes,No,More than 2 hours,Second class lower
134,23 - 27 years,Female,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,Exactly 2 hours,Second class lower
135,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,More than 3,Yes,Yes,Exactly 2 hours,Second class upper
136,23 - 27 years,Male,16 - 20,L 300,2.4 - 2.0,Less than 3,Yes,Yes,More than 2 hours,Third class
137,18 - 22 years,Male,16 - 20,L 300,3.5 - 3.0,Less than 3,Yes,Yes,More than 2 hours,Second class upper
138,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Less than 3,Yes,Yes,Exactly 2 hours,Second class lower
139,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Exactly 3,Yes,Yes,Less than 2 hours,Second class upper
140,23 - 27 years,Female,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
141,23 - 27 years,Male,21 - 25,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Exactly 2 hours,Third class
142,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
143,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,More than 3,No,Yes,Exactly 2 hours,Second class lower
144,28 - 32 years,Male,10 - 15,L 300,4.0 - 3.6,More than 3,Yes,Yes,Exactly 2 hours,First class
145,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,More than 3,Maybe,Yes,More than 2 hours,Third class
146,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,More than 3,Yes,No,More than 2 hours,Second class upper
