"Timestamp","What is your age?","Gender ?","What was your WASSCE grade ?","What level are you ?","What is your current CGPA ?","How many siblings do you have ?","Do you have access to a laptop or internet ?","Do you join a study group ?","How many hours do you do independent studies ?"
"2022/10/18 9:23:31 pm GMT","18 - 22 years","Female","10 - 15","L 300","3.5 - 3.0","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/18 10:05:10 pm GMT","18 - 22 years","Male","6 - 9","L 300","3.5 - 3.0","Less than 3","Yes","No","More than 2 hours"
"2022/10/18 10:14:19 pm GMT","18 - 22 years","Female","10 - 15","L 300","3.5 - 3.0","Exactly 3","Yes","No","More than 2 hours"
"2022/10/18 10:26:33 pm GMT","18 - 22 years","Male","10 - 15","L 300","2.9 - 2.5","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/18 11:30:30 pm GMT","23 - 27 years","Female","16 - 20","L 300","2.9 - 2.5","More than 3","Yes","Yes","Exactly 2 hours"
"2022/10/19 4:27:42 am GMT","18 - 22 years","Male","10 - 15","L 400","2.9 - 2.5","More than 3","No","No","More than 2 hours"
"2022/10/19 6:53:32 am GMT","18 - 22 years","Male","16 - 20","L 300","2.4 - 2.0","More than 3","Yes","No","Less than 2 hours"
"2022/10/19 8:14:58 am GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/19 8:41:02 am GMT","18 - 22 years","Male","10 - 15","L 300","2.9 - 2.5","More than 3","Yes","No","More than 2 hours"
"2022/10/20 9:22:10 am GMT","23 - 27 years","Female","16 - 20","L 300","2.9 - 2.5","More than 3","Yes","Yes","Exactly 2 hours"
"2022/10/20 9:22:12 am GMT","18 - 22 years","Male","10 - 15","L 300","3.5 - 3.0","More than 3","Yes","Yes","Exactly 2 hours"
"2022/10/20 9:22:27 am GMT","23 - 27 years","Male","16 - 20","L 300","2.4 - 2.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/20 9:22:36 am GMT","18 - 22 years","Male","16 - 20","L 300","3.5 - 3.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/20 9:23:13 am GMT","23 - 27 years","Male","16 - 20","L 300","2.9 - 2.5","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/20 9:23:17 am GMT","18 - 22 years","Male","10 - 15","L 300","3.5 - 3.0","Exactly 3","Yes","Yes","Less than 2 hours"
"2022/10/20 9:23:38 am GMT","23 - 27 years","Female","16 - 20","L 300","2.9 - 2.5","More than 3","Yes","Yes","More than 2 hours"
"2022/10/20 9:23:46 am GMT","23 - 27 years","Male","21 - 25","L 300","2.4 - 2.0","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/20 9:24:15 am GMT","23 - 27 years","Male","16 - 20","L 300","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/20 9:24:16 am GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","More than 3","No","Yes","Exactly 2 hours"
"2022/10/20 9:26:36 am GMT","28 - 32 years","Male","10 - 15","L 300","4.0 - 3.6","More than 3","Yes","Yes","Exactly 2 hours"
"2022/10/20 9:26:40 am GMT","23 - 27 years","Male","10 - 15","L 300","2.4 - 2.0","More than 3","Maybe","Yes","More than 2 hours"
"2022/10/20 9:29:31 am GMT","18 - 22 years","Male","10 - 15","L 300","3.5 - 3.0","More than 3","Yes","No","More than 2 hours"
