Age,Gender,wassce grade,level,current CGPA,access to a laptop or internet,study group,time spent on independent studies
205,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
206,18 - 22 years,Male,10 - 15,L 400,4.0 - 3.6,Maybe,Yes,More than 2 hours
207,23 - 27 years,Male,6 - 9,L 400,4.0 - 3.6,Yes,Yes,More than 2 hours
208,14 - 17 years,Male,10 - 15,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
209,23 - 27 years,Female,10 - 15,L 300,2.9 - 2.5,No,No,Exactly 2 hours
210,23 - 27 years,Female,16 - 20,L 300,2.4 - 2.0,No,No,Exactly 2 hours
211,28 - 32 years,Female,16 - 20,L 400,2.9 - 2.5,Yes,No,More than 2 hours
212,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,No,No,Exactly 2 hours
213,23 - 27 years,Female,6 - 9,L 400,4.0 - 3.6,Yes,Yes,More than 2 hours
214,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,Yes,Yes,Exactly 2 hours
215,18 - 22 years,Male,10 - 15,L 400,2.4 - 2.0,No,No,Less than 2 hours
216,28 - 32 years,Male,21 - 25,L 400,3.5 - 3.0,No,No,More than 2 hours
217,23 - 27 years,Female,26 - 30,L 300,3.5 - 3.0,Yes,No,Less than 2 hours
218,14 - 17 years,Female,10 - 15,L 400,2.9 - 2.5,Yes,No,More than 2 hours
219,28 - 32 years,Female,10 - 15,L 300,2.9 - 2.5,Yes,Yes,Less than 2 hours
220,14 - 17 years,Male,6 - 9,L 400,4.0 - 3.6,Yes,Yes,More than 2 hours
221,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,No,No,Exactly 2 hours
222,23 - 27 years,Male,10 - 15,L 400,4.0 - 3.6,Yes,Yes,Exactly 2 hours
223,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,No,Yes,Less than 2 hours
224,14 - 17 years,Male,6 - 9,L 400,3.5 - 3.0,Yes,Yes,Less than 2 hours
225,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,Yes,Less than 2 hours
226,23 - 27 years,Male,6 - 9,L 400,4.0 - 3.6,Yes,Yes,Less than 2 hours
227,23 - 27 years,Female,16 - 20,L 400,4.0 - 3.6,Yes,Yes,Less than 2 hours
228,23 - 27 years,Female,16 - 20,L 400,2.4 - 2.0,Yes,No,Less than 2 hours
229,14 - 17 years,Female,6 - 9,L 300,4.0 - 3.6,No,No,More than 2 hours
230,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Maybe,No,Exactly 2 hours
231,14 - 17 years,Male,6 - 9,L 400,4.0 - 3.6,Maybe,Yes,More than 2 hours
232,More than 32 years,Male,10 - 15,L 400,3.5 - 3.0,Maybe,Yes,Exactly 2 hours
233,18 - 22 years,Male,6 - 9,L 400,4.0 - 3.6,Yes,Yes,More than 2 hours
234,18 - 22 years,Male,6 - 9,L 300,Below 1.5,Maybe,No,More than 2 hours
235,More than 32 years,Female,Above 30,L 300,Below 1.5,No,Yes,Less than 2 hours
236,18 - 22 years,Female,16 - 20,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
237,23 - 27 years,Male,6 - 9,L 400,3.5 - 3.0,Yes,Yes,Exactly 2 hours
